Asilabilir_Engel_Seviyesi,Haritalandirma,Hazne_Kapasitesi,Uygulama_Uzerinden_Kontrol,Yer_Silme_Ozelligi,Sarjli_Kullanim_Suresi,Fiyat,marka
4.0,3,3,0,0,1,8199.0,67
2.0,2,3,0,0,1,19999.0,86
2.0,3,3,0,0,3,9617.0,123
2.0,2,3,0,0,1,194999.0,23
2.0,3,3,0,0,1,9999.0,11
2.0,2,3,0,0,1,8999.0,11
2.0,3,2,0,0,1,19450.0,79
2.0,4,4,1,0,3,5999.0,83
2.0,4,1,0,0,1,7950.0,6
2.0,3,1,0,0,1,11090.0,112
2.0,3,3,0,0,3,10899.0,5
2.0,3,0,0,0,1,12499.0,119
2.0,2,3,0,0,1,2699.0,57
2.0,2,4,0,0,1,15599.0,123
2.0,3,0,0,0,1,12099.0,56
1.0,4,0,0,1,3,12350.0,28
1.0,4,0,0,0,0,209999.0,45
2.0,2,3,0,0,1,14900.0,40
2.0,2,0,0,0,1,8699.0,123
2.0,2,3,0,0,1,15599.0,47
2.0,2,3,0,0,1,13599.0,55
2.0,3,3,0,0,1,25999.0,86
2.0,2,3,0,0,1,5549.0,75
4.0,3,0,0,0,1,20259.0,86
2.0,2,3,0,0,1,8299.0,119
2.0,2,3,0,0,1,8499.0,11
2.0,3,3,0,0,1,87490.0,6
4.0,3,0,0,0,1,6366.0,75
2.0,2,3,0,0,1,1999.0,42
1.0,3,3,0,0,1,275489.0,79
1.0,4,0,0,0,1,208999.0,45
2.0,1,3,0,1,1,19799.0,68
2.0,3,3,0,0,1,193535.0,123
2.0,3,3,0,0,1,9870.0,37
2.0,0,3,0,0,3,11599.0,40
3.0,3,4,0,0,1,18749.0,123
2.0,2,3,0,0,1,45000.0,86
2.0,3,3,0,0,1,16899.0,105
2.0,3,4,0,0,1,7799.0,47
3.0,4,3,1,1,3,6999.0,13
2.0,3,3,0,0,3,29899.0,105
2.0,0,3,0,0,3,20499.0,55
1.0,3,2,0,0,1,8999.0,126
2.0,2,3,0,0,1,10999.0,123
2.0,2,3,0,0,1,13999.0,23
2.0,3,4,0,0,3,4999.0,22
