AÅŸÄ±labilir Engel Seviyesi,Aşılabilir Engel Seviyesi,Garanti SÃ¼resi,Garanti Süresi,Garanti Tipi,GÃ¼Ã§ (Watt),Güç (Watt),HaritalandÄ±rma,Haritalandırma,Hazne Kapasitesi,Ses Seviyesi,Uygulama Ãœzerinden Kontrol,Uygulama Üzerinden Kontrol,Yer Silme Ã–zelliÄŸi,Yer Silme Özelliği,Ã–zellik,Ã‡alÄ±ÅŸma Modu SayÄ±sÄ±,ÅžarjlÄ± KullanÄ±m SÃ¼resi,Çalışma Modu Sayısı,Özellik,Şarjlı Kullanım Süresi,url,price
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,2401 Watt ve Üzeri,,Lazer (LIDAR + SLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,2,Robot,120 dk ve üzeri,https://www.trendyol.com//dreame/bot-l10-ultra-robot-supurge-p-764941685?boutiqueId=61&merchantId=593584&advertItems=eyJhZHZlcnRJZCI6ImZhYmI3MzY1LWEwYTQtNDI1OC05ZmQ4LTgwNTlhNWZmYzNhZiIsInNvcnRpbmdTY29yZSI6MC4wNDYyODYwMjEyOTIyMDk2MywiYWRTY29yZSI6MC4wMjc2ODMwMjcwODg2NDIxMiwiYWRTY29yZXMiOnsiMSI6MC4wMjc2ODMwMjcwODg2NDIxMiwiMiI6MC4wMjc2ODMwMjcwODg2NDIxMn0sImNwYyI6MS42NzIwMDAwMDAwMDAwMDAyLCJtaW5DcGMiOjAuMDEsImVDcGMiOjAuODUxNzY0MjkxMjY1OTY2NCwiYWR2ZXJ0U2xvdCI6Mywib3JkZXIiOjExLCJhdHRyaWJ1dGVzIjoiIn0=,28.999 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),500-1000 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//xiaomi/mi-robot-vacuum-mop-2-ultra-siyah-2022-model-p-251052134?boutiqueId=61&merchantId=668231,8.850 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//trouver/finder-lds-sensorlu-vacuum-mop-robot-supurge-beyaz-rls3-p-71322858?boutiqueId=61&merchantId=712251,3.999 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//roborock/q7-max-siyah-akilli-robot-supurge-p-316611458?boutiqueId=61&merchantId=683199,14.500 TL
,4+ cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,41 Dba - 50 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//dreame/bot-l10s-pro-robot-supurge-p-639417973?boutiqueId=61&merchantId=593584&advertItems=eyJhZHZlcnRJZCI6ImZhYmI3MzY1LWEwYTQtNDI1OC05ZmQ4LTgwNTlhNWZmYzNhZiIsInNvcnRpbmdTY29yZSI6MC4wMjMwMjU3NTI1Mjk1MDE5MTgsImFkU2NvcmUiOjAuMDEzNzcxMzgzMDkxODA3MzY1LCJhZFNjb3JlcyI6eyIxIjowLjAxMzc3MTM4MzA5MTgwNzM2NSwiMiI6MC4wMTM3NzEzODMwOTE4MDczNjV9LCJjcGMiOjEuNjcyMDAwMDAwMDAwMDAwMiwibWluQ3BjIjowLjAxLCJlQ3BjIjoxLjM4Mzk1NDMwODgwNjUxNywiYWR2ZXJ0U2xvdCI6NCwib3JkZXIiOjE1LCJhdHRyaWJ1dGVzIjoiIn0=,12.899 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,41 Dba - 50 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//xiaomi/mi-robot-vacuum-s10t-8000pa-akilli-robot-supurge-p-458904548?boutiqueId=61&merchantId=514600,12.149 TL
2 cm,,2 YÄ±l,,Ä°thalatÃ§Ä± Garantili,0 - 250 Watt,,Kamera (VSLAM + SLAM),,500-1000 L,51 Dba - 60 Dba,Var,,Var,,Robot,3+,60 - 120 dk,,,,https://www.trendyol.com//xiaomi/mi-robot-vacuum-mop-2c-robot-supurge-yeni-versiyon-2022-p-245156705?boutiqueId=61&merchantId=872295,9.060 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//xiaomi/mi-robot-vakumlu-paspas-mop-2-pro-akilli-robot-supurge-siyah-yeni-model-p-242484798?boutiqueId=620489&merchantId=968,9.299 TL
,2 cm,,2 Yıl,,,0 - 250 Watt,,Lazer (LIDAR + SLAM),0-250 L,51 Dba - 60 Dba,,Yok,,Var,,,,,,,https://www.trendyol.com//dreame/bot-l10s-ultra-robot-supurge-p-702177445?boutiqueId=61&merchantId=593584&advertItems=eyJhZHZlcnRJZCI6ImZhYmI3MzY1LWEwYTQtNDI1OC05ZmQ4LTgwNTlhNWZmYzNhZiIsInNvcnRpbmdTY29yZSI6MC4wMTg3ODM1MzgxNzc2MDk0NDcsImFkU2NvcmUiOjAuMDExMjM0MTczNTUxMjAxODIsImFkU2NvcmVzIjp7IjEiOjAuMDExMjM0MTczNTUxMjAxODIsIjIiOjAuMDExMjM0MTczNTUxMjAxODJ9LCJjcGMiOjEuNjcyMDAwMDAwMDAwMDAwMiwibWluQ3BjIjowLjAxLCJlQ3BjIjowLjAxLCJhZHZlcnRTbG90Ijo1LCJvcmRlciI6MTksImF0dHJpYnV0ZXMiOiIifQ==,29.999 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,41 Dba - 50 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//360/360-s9-vacuum-mop-pro-cleaner-akilli-robot-supurge-p-49262589?boutiqueId=61&merchantId=106198,6.199 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//samsung/vr5000rm-ince-tasarimli-robot-supurge-vr05r5050wg-p-99971567?boutiqueId=61&merchantId=327475,5.895 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,2000 W ve altı,,Lazer (LIDAR + SLAM),500-1000 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//360/360-s10-vacuum-mop-cleaner-akilli-robot-supurge-p-107149711?boutiqueId=61&merchantId=815646,8.700 TL
,1 cm,,2 Yıl,İthalatçı Garantili,,1501 - 2000 Watt,,Yok,250-500 L,31 Dba - 40 Dba,,Yok,,Yok,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//roborock/q7-max-plus-beyaz-akilli-robot-supurge-p-316611327?boutiqueId=61&merchantId=106198,19.999 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//hutt/ddc55-cam-silme-robotu-ddc55-p-107446686?boutiqueId=61&merchantId=106994,6.930 TL
2 cm,,2 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,2201 - 2400 Watt,,Kamera (VSLAM + SLAM),,250-500 L,11 Dba - 20 Dba,Var,,Var,,Robot,2,120 dk ve Ã¼zeri,,,,https://www.trendyol.com//ecovacs/deebot-n8-beyaz-renk-akilli-robot-supurge-ve-paspas-turkiye-garantili-p-248193384?boutiqueId=61&merchantId=702771,5.999 TL
,3 cm,,2 Yıl,Resmi Distribütör Garantili,,1001 - 1500 Watt,,Jiroskop (SLAM /ESLAM),250-500 L,11 Dba - 20 Dba,,Var,,Var,,,,2,Robot,120 dk ve üzeri,https://www.trendyol.com//viomi/v5-akilli-robot-supurge-p-737951550?boutiqueId=61&merchantId=314538,5.558 TL
