AÅŸÄ±labilir Engel Seviyesi,Aşılabilir Engel Seviyesi,Garanti SÃ¼resi,Garanti Süresi,Garanti Tipi,GÃ¼Ã§ (Watt),Güç (Watt),HaritalandÄ±rma,Haritalandırma,Hazne Kapasitesi,Ses Seviyesi,Uygulama Ãœzerinden Kontrol,Uygulama Üzerinden Kontrol,Yer Silme Ã–zelliÄŸi,Yer Silme Özelliği,Ã–zellik,Ã‡alÄ±ÅŸma Modu SayÄ±sÄ±,ÅžarjlÄ± KullanÄ±m SÃ¼resi,Çalışma Modu Sayısı,Özellik,Şarjlı Kullanım Süresi,url,price
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,2001 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//arcelik/imperium-robo-rs-3221-robot-supurge-p-761240927?boutiqueId=61&merchantId=614180,"8.749,90 TL"
,4+ cm,,2 Yıl,Resmi Distribütör Garantili,,499-250 Watt,,Lazer (LIDAR + SLAM),0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//omix/omix-mixbot-pro-robot-supurge-beyaz-p-303650325?boutiqueId=61&merchantId=607180,6.366 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//hellove/supurge-koruyucu-xiaomi-vacuum-mop-1c-beyaz-yuzey-sticker-cizilme-onleyici-etiket-maskeleyici-p-402058016?boutiqueId=61&merchantId=116512,"199,89 TL"
,1 cm,,2 Yıl,Resmi Distribütör Garantili,,1501 - 2200 Watt,,Lazer (LIDAR + SLAM),250-500 L,71 Dba - 80 Dba,,Var,,Var,,,,,,120 dk ve üzeri,https://www.trendyol.com//philips/philips-avantaj-set-xu3000-3000pa-robot-supurge-hd9870-premium-airfry-xxl-7-2-litre-p-771945103?boutiqueId=61&merchantId=153143,"27.548,99 TL"
,1 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Yok,0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Toz Torbasız,,https://www.trendyol.com//hobot/r3-cam-temizleme-fayans-silme-robotu-dual-sprey-ozellikli-cep-telefonu-uygulama-p-734405847?boutiqueId=61&merchantId=167560,"20.899,99 TL"
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Kamera (VSLAM + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Yok,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//miele/scout-rx3-siyah-spql-robot-supurge-p-202258121?boutiqueId=61&merchantId=108107,19.799 TL
,2 cm,,2 Yıl,,,2001 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,71 Dba - 80 Dba,,Var,,Var,,,,,Robot,,https://www.trendyol.com//xiaomi/3d-engellerden-kacinma-cift-hatli-lazer-ve-lds-lidarli-cift-katmanli-paspaspremium-robot-supurge-p-784358266?boutiqueId=61&merchantId=881452,"19.353,65 TL"
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//fantom/galaxy-xy-38-cyclone-robot-supurge-siyah-p-101750314?boutiqueId=61&merchantId=292436,9.870 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Jiroskop (SLAM /ESLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//grundig/vcr-2131-mop-ozellikli-akilli-robot-supurge-p-159085222?boutiqueId=61&merchantId=106272,11.599 TL
,3 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),500-1000 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//xiaomi/mi-robot-vacuum-mop-pro-global-versiyon-robot-supurge-p-334618678?boutiqueId=61&merchantId=601117,18.749 TL
3 cm,,2 YÄ±l,,Ä°thalatÃ§Ä± Garantili,0 - 250 Watt,,Lazer (LIDAR + SLAM),,250-500 L,51 Dba - 60 Dba,Var,,Var,,Robot,3+,120 dk ve Ã¼zeri,,,,https://www.trendyol.com//roborock/s7-cop-uniteli-robot-supurge-p-447644338?boutiqueId=61&merchantId=385093,45.000 TL
,2 cm,,2 Yıl,,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,,Robot,,https://www.trendyol.com//tefal/robot-supurge-explorer-series-s-max-beyaz-p-782552409?boutiqueId=61&merchantId=197550,16.899 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,500-1500 Watt,,Lazer (LIDAR + SLAM),500-1000 L,61 Dba - 70 Dba,,Var,,Var,,,,1,Robot,120 dk ve üzeri,https://www.trendyol.com//homend/alex-laser-pro-1285h-haritalamali-akilli-robot-supurge-beyaz-silver-p-459543352?boutiqueId=61&merchantId=116849,7.799 TL
,3 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Yok,250-500 L,51 Dba - 60 Dba,,Yok,,Yok,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//bissell/ev675-temizlik-robotu-p-275133315?boutiqueId=61&merchantId=357608,6.999 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,71 Dba - 80 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//tefal/mop-ozellikli-akilli-robot-supurge-beyaz-fritoz-airfryer-hava-ile-kizartma-izgara-p-669755304?boutiqueId=61&merchantId=197550,29.899 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,2401 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//irobot/roomba-combo-i8-robot-supurge-ve-paspas-p-736414494?boutiqueId=61&merchantId=222627,20.499 TL
,1 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),1500+ L,51 Dba - 60 Dba,,Var,,Var,,,,,,120 dk ve üzeri,https://www.trendyol.com//yeedi/vac-2-pro-beyaz-renk-akilli-robot-supurge-ve-paspas-p-753327418?boutiqueId=61&merchantId=782378,8.999 TL
,,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,,,51 Dba - 60 Dba,,,,,,,,,Robot,,https://www.trendyol.com//xiaomi/mijia-hutt-w55-cam-temizleme-robotu-p-43460697?boutiqueId=61&merchantId=159336,10.999 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//dreame/d10-plus-robot-supurge-tr-garantili-p-376476517?boutiqueId=61&merchantId=732265,13.999 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),500-1000 L,51 Dba - 60 Dba,,Var,,Var,,,,2,Robot,60 - 120 dk,https://www.trendyol.com//cvs/roboto-nav-smart-robot-supurge-p-455830572?boutiqueId=61&merchantId=434086,4.999 TL
,2 cm,,2 Yıl,,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,,Robot,,https://www.trendyol.com//tefal/robot-supurge-explorer-series-s-max-beyaz-p-782552325?boutiqueId=61&merchantId=197550,16.899 TL
,,,2 Yıl,,,0 - 250 Watt,,,,11 Dba - 20 Dba,,,,,,,,,,,https://www.trendyol.com//karaca/homend-alex-pro-1290h-kamerali-akilli-robot-supurge-p-97236379?boutiqueId=61&merchantId=825144,7.999 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),500-1000 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//dreame/bot-d9-max-robot-supurge-vakum-ve-paspas-robot-supurge-p-249102862?boutiqueId=61&merchantId=732265,9.849 TL
,1 cm,,2 Yıl,,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),250-500 L,31 Dba - 40 Dba,,Var,,Var,,,,,,,https://www.trendyol.com//philips/homerun-3000-serisi-aqua-islak-ve-kuru-robot-supurge-4-adet-xv1430-00-mop-p-751914502?boutiqueId=61&merchantId=106320,14.149 TL
,4+ cm,,2 Yıl,,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,,,,https://www.trendyol.com//roborock/q-revo-cop-istasyonlu-beyaz-akilli-robot-supurge-p-784477364?boutiqueId=61&merchantId=106248,36.849 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Jiroskop (SLAM /ESLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,2,Robot,30 - 60 dk,https://www.trendyol.com//kiwi/2in1-mop-ozellikli-akilli-robot-supurge-p-773549738?boutiqueId=61&merchantId=646092,7.499 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//arcelik/robot-supurge-ve-paspas-2-yil-garanti-p-311858575?boutiqueId=61&merchantId=109514,12.990 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/7000-islak-kuru-istasyonlu-robot-supurge-5000-pa-titresimli-mop-sert-zemin-hali-xu7100-01-p-686132790?boutiqueId=61&merchantId=521664,29.999 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//roborock/q7-plus-robot-supurge-siyah-p-378074000?boutiqueId=61&merchantId=819642,19.000 TL
,2 cm,,2 Yıl,,,0 - 250 Watt,,Lazer (LIDAR + SLAM),0-250 L,51 Dba - 60 Dba,,Yok,,Var,,,,,,,https://www.trendyol.com//dreame/bot-l10s-ultra-robot-supurge-p-702177445?boutiqueId=61&merchantId=593584,29.999 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Jiroskop (SLAM /ESLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//robx/hb01-3300-pa-ruzgar-cekimi-3200-mah-7cm-robot-supurge-turkiye-garantili-p-344631901?boutiqueId=61&merchantId=108009,5.199 TL
,3 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-3000-serisi-aqua-robot-supurge-beyaz-p-778032101?boutiqueId=61&merchantId=409995,19.999 TL
,3 cm,,2 Yıl,Resmi Distribütör Garantili,,2401 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/islak-ve-kuru-beyaz-robot-supurge-ultra-emis-gucu-5000-pa-lazer-navigasyon-180-dk-calisma-suresi-p-778721744?boutiqueId=61&merchantId=825207,47.501 TL
2 cm,,2 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,0 - 250 Watt,,Lazer (LIDAR + SLAM),,1500+ L,61 Dba - 70 Dba,Var,,Var,,Robot,3+,120 dk ve Ã¼zeri,,,,https://www.trendyol.com//roborock/s7-pro-ultra-beyaz-cop-istasyonlu-robot-supurge-2-yil-genpa-garantili-p-658877462?boutiqueId=61&merchantId=601117,55.999 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Jiroskop (SLAM /ESLAM),500-1000 L,51 Dba - 60 Dba,,Var,,Var,,,,,Robot,60 - 120 dk,https://www.trendyol.com//anker/robovac-g30-hybrid-mop-robot-supurge-p-99685670?boutiqueId=61&merchantId=604207,"8.035,82 TL"
1 cm,,4 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,0 - 250 Watt,,Jiroskop (SLAM /ESLAM),,250-500 L,61 Dba - 70 Dba,Yok,,Yok,,Robot,3+,60 - 120 dk,,,,https://www.trendyol.com//arzum/ar4301-robotek-x2-moplu-akilli-robot-supurge-siyah-p-143143027?boutiqueId=61&merchantId=765943,10.999 TL
2 cm,,2 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,0 - 250 Watt,,Lazer (LIDAR + SLAM),,250-500 L,51 Dba - 60 Dba,Var,,Var,,Robot,3+,120 dk ve Ã¼zeri,,,,https://www.trendyol.com//lydsto/s1-d-max-uv-sterilizasyonlu-8000-pa-yapay-zeka-akilli-robot-supurge-p-769923397?boutiqueId=61&merchantId=217399,12.669 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),1500+ L,51 Dba - 60 Dba,,Var,,Var,,,,3+,,120 dk ve üzeri,https://www.trendyol.com//philips/islak-ve-kuru-temizlik-robotu-otomatik-bosaltma-istasyonu-xu3110-02-homerun-3000-serisi-aqua-p-780273741?boutiqueId=61&merchantId=867514,18.990 TL
,2 cm,,2 Yıl,,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,,Robot,,https://www.trendyol.com//tefal/robot-supurge-explorer-series-s-max-beyaz-p-782552499?boutiqueId=61&merchantId=197550,16.899 TL
,1 cm,,2 Yıl,,,0 - 250 Watt,,Lazer (LIDAR + SLAM),0-250 L,51 Dba - 60 Dba,,Var,,Yok,,,,,,,https://www.trendyol.com//360/360-s9-vacuum-mop-cleaner-akilli-robot-supurge-kvk-garantilidir-p-741193406?boutiqueId=61&merchantId=455417,"9.844,11 TL"
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//yui/s7-plus-akilli-cop-istasyonlu-robot-vacuum-mop-supurge-siyah-yui-turkiye-garantili-p-645301173?boutiqueId=61&merchantId=720599,12.999 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,1501 - 2200 Watt,,Lazer (LIDAR + SLAM),250-500 L,71 Dba - 80 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//xiaomi/mi-robot-mop-2-pro-akilli-robot-supurge-siyah-mi-smart-air-fryer-aile-boyu-6-lt-p-655993290?boutiqueId=61&merchantId=197550,25.999 TL
,4+ cm,,2 Yıl,Resmi Distribütör Garantili,,2001 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//fakir/robert-rs-780-plus-cop-istasyonlu-akilli-robot-supurge-p-676274819?boutiqueId=61&merchantId=720,"35.549,90 TL"
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//xiaomi/mi-robot-vacuum-mop-pro-cleaner-robot-supurge-ve-paspas-p-36502434?boutiqueId=61&merchantId=601117,13.177 TL
,1 cm,,1 Yıl,İthalatçı Garantili,,1501 - 2000 Watt,,Yok,250-500 L,51 Dba - 60 Dba,,Yok,,Var,,,,,,,https://www.trendyol.com//bowai/robot-supurge-1800pa-gri-renk-p-304357140?boutiqueId=61&merchantId=424079,"2.999,90 TL"
,3 cm,,2 Yıl,İthalatçı Garantili,,2200 W,,Jiroskop (SLAM /ESLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,,Robot,,https://www.trendyol.com//king/krs-360-sebastian-robot-supurge-p-145609552?boutiqueId=61&merchantId=699041,4.864 TL
2 cm,,2 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,499-250 Watt,,Jiroskop (SLAM /ESLAM),,250-500 L,61 Dba - 70 Dba,Var,,Var,,Robot,3+,60 - 120 dk,,,,https://www.trendyol.com//arcelik/rs-3121-robot-supurge-p-158416038?boutiqueId=61&merchantId=637688,10.420 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,499-250 Watt,,Jiroskop (SLAM /ESLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//grundig/vcr-6230-robot-supurge-p-378846430?boutiqueId=61&merchantId=449692,8.295 TL
2 cm,,2 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,0 - 250 Watt,,Jiroskop (SLAM /ESLAM),,0-250 L,61 Dba - 70 Dba,Var,,Var,,Robot,,,,,,https://www.trendyol.com//dreame/vacuum-mop-d9-robot-supurge-p-117108135?boutiqueId=61&merchantId=732265,12.999 TL
2 cm,,2 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,0 - 250 Watt,,Lazer (LIDAR + SLAM),,250-500 L,51 Dba - 60 Dba,Var,,Var,,Robot,3+,120 dk ve Ã¼zeri,,,,https://www.trendyol.com//lydsto/s1-uv-ve-ozon-sterilizasyonlu-akilli-robot-supurge-ve-paspas-beyaz-turkiye-garantili-p-275981850?boutiqueId=61&merchantId=217399,16.999 TL
,4+ cm,,2 Yıl,Resmi Distribütör Garantili,,499-250 Watt,,Jiroskop (SLAM /ESLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,2,Robot,120 dk ve üzeri,https://www.trendyol.com//grundig/vcr-6231-akilli-robot-supurge-p-771155922?boutiqueId=61&merchantId=107870,8.999 TL
,,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,,,61 Dba - 70 Dba,,,,,,,,,Robot,,https://www.trendyol.com//hobot/388-cam-temizleme-fayans-silme-robotu-sprey-ozellikli-cep-telefonu-uygulama-p-67942544?boutiqueId=61&merchantId=167560,"17.799,99 TL"
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Jiroskop (SLAM /ESLAM),1000-1500 L,51 Dba - 60 Dba,,Var,,Var,,,,2,Robot,120 dk ve üzeri,https://www.trendyol.com//vestel/v-bot-pro-b-robot-supurge-p-781011056?boutiqueId=61&merchantId=245803,13.399 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//miele/scout-rx3-home-vision-hd-rosegold-spql-robot-supurge-p-202258114?boutiqueId=61&merchantId=766286,36.792 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//homend/alex-1280h-akilli-robot-supurge-p-92900787?boutiqueId=61&merchantId=474850,4.980 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),500-1000 L,51 Dba - 60 Dba,,Var,,Var,,,,1,Robot,120 dk ve üzeri,https://www.trendyol.com//vestel/v-bot-pro-robot-supurge-beyaz-p-366621381?boutiqueId=61&merchantId=428200,10.490 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,2200 W,,Kamera (VSLAM + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//king/krs-360-sebastian-robot-supurge-p-145609593?boutiqueId=61&merchantId=699041,4.990 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),500-1000 L,61 Dba - 70 Dba,,Var,,Var,,,,,Robot,60 - 120 dk,https://www.trendyol.com//xiaomi/trouver-finder-lds-sensorlu-vacuum-mop-robot-supurge-p-112489144?boutiqueId=61&merchantId=685887,11.999 TL
,2 cm,,2 Yıl,,,2000 W ve altı,,Yok,250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,,,,https://www.trendyol.com//fakir/robot-supurge-beyaz-robert-rs-740-p-767882422?boutiqueId=61&merchantId=215248,10.600 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),0-250 L,71 Dba - 80 Dba,,Var,,Var,,,,2,Robot,120 dk ve üzeri,https://www.trendyol.com//roborock/q-revo-toz-hazneli-robot-supurge-p-761306512?boutiqueId=61&merchantId=149251,36.889 TL
2 cm,,2 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,0 - 250 Watt,,Lazer (LIDAR + SLAM),,500-1000 L,61 Dba - 70 Dba,Var,,Var,,Robot,,120 dk ve Ã¼zeri,,,,https://www.trendyol.com//viomi/v3-vacuum-cleaner-lazer-sensor-robot-supurge-xiaomi-turkiye-resmi-distributor-garantili-p-87320132?boutiqueId=61&merchantId=455417,"12.204,11 TL"
,2 cm,,2 Yıl,İthalatçı Garantili,,1501 - 2200 Watt,,Lazer (LIDAR + SLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//xiaomi/mi-robot-vacuum-mop-2-ultra-cop-bosaltma-istasyonu-p-253685799?boutiqueId=61&merchantId=639098,4.679 TL
,,,,,,,,,,,,,,,,,,,Toz Torbalı,,https://www.trendyol.com//hoover/robocom-rbc050-1-011-robot-supurge-p-2216271?boutiqueId=61&merchantId=593943,6.259 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//viomi/robot-vacuum-s9-p-80152291?boutiqueId=61&merchantId=127968,11.695 TL
,,,1 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,,,31 Dba - 40 Dba,,,,,,,,,Robot,,https://www.trendyol.com//teknoexpress/cam-pencere-temizlik-robotu-elektrikli-pencere-temizleyici-anti-dusen-uzaktan-kumandali-supurge-p-90113017?boutiqueId=61&merchantId=678867,5.952 TL
,2 cm,,3 Yıl,Resmi Distribütör Garantili,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),250-500 L,71 Dba - 80 Dba,,Var,,Var,,,,,Robot,60 - 120 dk,https://www.trendyol.com//xiaomi/robot-vacuum-robot-supurge-mop-1-yil-ek-garanti-hediye-p-759105033?boutiqueId=61&merchantId=197550,18.599 TL
,4+ cm,,2 Yıl,,,0 - 250 Watt,,Lazer (LIDAR + SLAM),500-1000 L,61 Dba - 70 Dba,,Var,,Var,,,,,,,https://www.trendyol.com//fakir/robert-rs-770-akilli-robot-supurge-n8werk-airfryer-5-5-lt-yagsiz-fritoz-p-782011573?boutiqueId=61&merchantId=112264,19.999 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,,120 dk ve üzeri,https://www.trendyol.com//xiaomi/sonik-titresimle-olaganustu-temizlik-yeni-nesil-lds-lazer-navigasyon-sistem-mi-temizlik-robotu-2-pro-p-785474239?boutiqueId=61&merchantId=881452,16.699 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Kamera (VSLAM + SLAM),500-1000 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//xiaomi/mijia-2c-2in1-vacuum-mop-robot-supurge-p-277892633?boutiqueId=61&merchantId=449692,9.888 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//beko/robo-x-rs-2121-robot-supurge-p-167395048?boutiqueId=61&merchantId=869282,8.999 TL
,4+ cm,,2 Yıl,Resmi Distribütör Garantili,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,,Robot,120 dk ve üzeri,https://www.trendyol.com//rowenta/x-plorer-serisi-20-rr8275wh-2-si-1-arada-kuru-ve-islak-temizleme-wi-fi-kontrolu-p-687875469?boutiqueId=61&merchantId=789051,10.400 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//xiaomi/8000pa-yuksek-guc-wi-fi-akilli-kontrol-mi-robot-s10t-robot-supurge-ve-paspas-lidar-tarama-p-779517894?boutiqueId=61&merchantId=881452,19.879 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//grundig/moplu-haritalamali-akilli-robot-supurge-vcr-9031-p-122022360?boutiqueId=61&merchantId=831672,9.595 TL
,4 cm,,3 Yıl,Resmi Distribütör Garantili,,2001 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,71 Dba - 80 Dba,,Var,,Var,,,,,Robot,120 dk ve üzeri,https://www.trendyol.com//trident/t22s-pro-cop-kovali-robot-supurge-siyah-2-1-3-yil-uretici-garantili-p-711590355?boutiqueId=61&merchantId=115591,10.999 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//irobot/roomba-combo-i8-robot-supurge-ve-paspas-p-736404463?boutiqueId=61&merchantId=222627,15.499 TL
,3 cm,,2 Yıl,İthalatçı Garantili,,2401 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,2,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-7000-serisi-aqua-robot-supurge-beyaz-p-777742511?boutiqueId=61&merchantId=475260,25.150 TL
,2 cm,,3 Yıl,Resmi Distribütör Garantili,,500-1500 Watt,,Lazer (LIDAR + SLAM),500-1000 L,61 Dba - 70 Dba,,Var,,Var,,,,1,Robot,120 dk ve üzeri,https://www.trendyol.com//arnica/sil-supur-robot-supurge-p-225928387?boutiqueId=61&merchantId=428844,21.999 TL
,4+ cm,,2 Yıl,,,0 - 250 Watt,,Kamera (VSLAM + SLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,,,,https://www.trendyol.com//ecovacs/deebot-slim2-robot-supurge-p-762941450?boutiqueId=61&merchantId=107439,5.709 TL
,4+ cm,,2 Yıl,,,1501 - 2000 Watt,,Jiroskop (SLAM /ESLAM),250-500 L,31 Dba - 40 Dba,,Var,,Var,,,,,,,https://www.trendyol.com//360/botslab-c50-vacuum-mop-kumandali-akilli-robot-supurge-p-780472058?boutiqueId=61&merchantId=138468,5.999 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,2401 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),500-1000 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//yeedi/mop-station-akilli-mop-istasyonlu-robot-vacuum-robot-supurge-2500pa-3500-ml-0-57-l-hazne-p-666128820?boutiqueId=61&merchantId=455417,"18.873,11 TL"
,2 cm,,2 Yıl,İthalatçı Garantili,,2200 W,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,1,Robot,120 dk ve üzeri,https://www.trendyol.com//karcher/rcv5-robot-supurge-p-675742403?boutiqueId=61&merchantId=109693,20.979 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//arcelik/rs-9034-hm-robot-supurge-p-101749470?boutiqueId=61&merchantId=109527,14.999 TL
