Asilabilir_Engel_Seviyesi,Haritalandirma,Hazne_Kapasitesi,Uygulama_Uzerinden_Kontrol,Yer_Silme_Ozelligi,Calisma_Modu_Sayisi,Ozellik,Sarjli_Kullanim_Suresi,url,price
2 ,Lazer ,250-500,Var,Var,3,Robot,60 - 120,https://www.trendyol.com//xiaomi/mi-robot-vacuum-s10t-8000pa-akilli-robot-supurge-p-458904548?boutiqueId=61&merchantId=514600,12149.0
2,Lazer,500-1000,Var,Var,3,Robot,120,https://www.trendyol.com//xiaomi/mi-robot-vacuum-mop-2c-robot-supurge-yeni-versiyon-2022-p-245156705?boutiqueId=61&merchantId=872295,9060.0
2 ,Lazer ,250-500,Var,Var,3,Robot,60 - 120,https://www.trendyol.com//xiaomi/mi-robot-vakumlu-paspas-mop-2-pro-akilli-robot-supurge-siyah-yeni-model-p-242484798?boutiqueId=620489&merchantId=968,9299.0
2 ,Lazer ,0-250,Yok,Var,3,Robot,120,https://www.trendyol.com//dreame/bot-l10s-ultra-robot-supurge-p-702177445?boutiqueId=61&merchantId=593584&advertItems=eyJhZHZlcnRJZCI6ImZhYmI3MzY1LWEwYTQtNDI1OC05ZmQ4LTgwNTlhNWZmYzNhZiIsInNvcnRpbmdTY29yZSI6MC4wMTg3ODM1MzgxNzc2MDk0NDcsImFkU2NvcmUiOjAuMDExMjM0MTczNTUxMjAxODIsImFkU2NvcmVzIjp7IjEiOjAuMDExMjM0MTczNTUxMjAxODIsIjIiOjAuMDExMjM0MTczNTUxMjAxODJ9LCJjcGMiOjEuNjcyMDAwMDAwMDAwMDAwMiwibWluQ3BjIjowLjAxLCJlQ3BjIjowLjAxLCJhZHZlcnRTbG90Ijo1LCJvcmRlciI6MTksImF0dHJpYnV0ZXMiOiIifQ==,29999.0
2 ,Lazer ,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//360/360-s9-vacuum-mop-pro-cleaner-akilli-robot-supurge-p-49262589?boutiqueId=61&merchantId=106198,6199.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//samsung/vr5000rm-ince-tasarimli-robot-supurge-vr05r5050wg-p-99971567?boutiqueId=61&merchantId=327475,5895.0
2 ,Lazer ,500-1000,Var,Var,3,Robot,120,https://www.trendyol.com//360/360-s10-vacuum-mop-cleaner-akilli-robot-supurge-p-107149711?boutiqueId=61&merchantId=815646,8700.0
1 ,Yok,250-500,Yok,Yok,3,Robot,120,https://www.trendyol.com//roborock/q7-max-plus-beyaz-akilli-robot-supurge-p-316611327?boutiqueId=61&merchantId=106198,19999.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//hutt/ddc55-cam-silme-robotu-ddc55-p-107446686?boutiqueId=61&merchantId=106994,6930.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//ecovacs/deebot-n8-beyaz-renk-akilli-robot-supurge-ve-paspas-turkiye-garantili-p-248193384?boutiqueId=61&merchantId=702771,5999.0
3 ,Jiroskop ,250-500,Var,Var,2,Robot,120,https://www.trendyol.com//viomi/v5-akilli-robot-supurge-p-737951550?boutiqueId=61&merchantId=314538,5558.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//roborock/roboroc-s5-max-robot-supurge-beyaz-p-40449299?boutiqueId=61&merchantId=635356,43000.0
2 ,Jiroskop ,0-250,Var,Var,2,Robot,120,https://www.trendyol.com//kiwi/akilli-robot-supurge-islak-kuru-robot-vacuum-mop-kvc-4090-p-762926497?boutiqueId=61&merchantId=109616,5495.0
2 ,Lazer ,250-500,Var,Var,2,Robot,120,https://www.trendyol.com//roborock/vacuum-cleanner-q8-max-robot-supurge-beyaz-p-775760751?boutiqueId=620489&merchantId=968,16519.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//simart-teknoloji/simart-katya-z-akilli-robot-supurge-p-673805588?boutiqueId=61&merchantId=790294,7999.0
4+ ,Lazer ,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//xiaomi/mi-s10-plus-hali-tanimali-donerek-paspas-ile-robot-vakumm-4000-pa-emis-genpa-garantili-p-769148134?boutiqueId=61&merchantId=566427,12899.0
2 ,Lazer ,500-1000,Var,Var,3,Robot,120,https://www.trendyol.com//soultech/rb002-akilli-temizleme-robotu-vacuum-mop-p-239460415?boutiqueId=61&merchantId=877048,4840.0
2 ,Lazer ,250-500,Var,Var,3,Robot,60 - 120,https://www.trendyol.com//homend/alex-laser-pro-1283h-beyaz-moplu-ve-haritalamali-akilli-robot-supurge-p-277114312?boutiqueId=61&merchantId=230835,7299.0
2 ,Lazer ,250-500,Var,Var,3,Robot,60 - 120,https://www.trendyol.com//tefal/rg7675-x-plorer-serie-75-mop-ozellikli-akilli-robot-supurge-evcil-hayvan-dostu-p-129896203?boutiqueId=61&merchantId=433342,8626.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//roborock/s7-robot-supurge-ve-paspas-beyaz-p-117349144?boutiqueId=61&merchantId=887420,47500.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//yeedi/vac-2-pro-beyaz-renk-akilli-robot-supurge-ve-paspas-resmi-distributor-garantili-p-316565799?boutiqueId=61&merchantId=211217,53732.0
2 ,Lazer ,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//philips/7000-islak-kuru-robot-supurge-5000-pa-titresimli-mop-sert-zemin-ve-haliya-uygun-xu7000-02-p-682357048?boutiqueId=61&merchantId=4513,18999.0
